CORE,A&S College Core
AADS,African American Diaspora Studies
ASL,American Sign Language
ANTH,Anthropology
ARA,Arabic
ARAM,Aramaic and Syriac
ARTS,Art Studio
ASIA,Asian Studies
ASAM,Asian-American Studies
ASTR,Astronomy
BRQ,Baroque Performance
BCB,Biochemistry & Chemical Biology
BSCI,Biological Sciences
BME,Biomedical Engineering
BUS,Business
BUSA,Business-Arts&Science
CAR,Career Development
CTLN,Catalan
CHBE,Chemical and Biomolecular Engineering
CHEM,Chemistry
CHRK,Cherokee
CHIN,Chinese
CMA,Cinema and Media Arts
CE,Civil Engineering
CHEB,Classical Hebrew
CLAS,Classics
CES,Climate & Environmental Studies
CMST,Communication Studies
CSET,Communication of Science and Technology
CS,Computer Science
MCON,Conducting
CAL,Culture Advocacy & Leadership
DS,Data Science
DF,Digital Fabrication
DHUM,Digital Humanities
EES,Earth and Environmental Sciences
ECON,Economics
EDUC,Education
ECE,Electrical & Computer Engineering
ENGM,Engineering Management
ES,Engineering Science
ENGL,English
ENED,English Education
MUSE,Ensembles
ENVE,Environmental Engineering
ENVS,Environmental and Sustainability Studies
EUS,European Studies
FLED,Foreign Language Education
FREN,French
GSS,Gender and Sexuality Studies
GER,German
GRK,Greek
HODC,H&OD: Community Leadership and Development
HODE,H&OD: Education Policy
HODH,H&OD: Health & Human Services
HODI,H&OD: International Leadership and Policy
HODL,H&OD: Leadership & Organizational Effectiveness
CREO,Haitian Creole Language
HEBR,Hebrew
HNUR,Hindi Urdu Language Instruction
HIST,History
HART,History Of Art
HONS,Honors
HOD,Human & Organizational Development
HUM,Humanities
HMED,Humanities Education-PC
IMM,Immersion Vanderbilt
INDS,Interdisciplinary Studies
ITA,Italian
JAPN,Japanese
JS,Jewish Studies
KICH,K'iche' - Mayan Language
MUKH,Keyboard Harmony
KOR,Korean
LAT,Latin
LACX,Latin Amer Caribbean Studies
LAS,Latin American Studies
LATS,Latino and Latina Studies
MALA,Malagasy
MSE,Materials Science & Engineering
MTED,Math Education
MATH,Mathematics
ME,Mechanical Engineering
MHS,Medicine Health and Society
MS-PC,Military Science-PC
ULAW,Minor in Legal Studies
MENT,Music Business/Entrepreneurshp
COMP,Music Composition
MPED,Music Pedagogy
MREP,Music Repertoire/Literature
MUED,Music Teacher Education
MTEC,Music Technology
MUTH,Music Theory
MWEL,Musicians' Wellness
MUSC,Musicianship
MUSL,Musicology/Ethnomusicology
NANO,Nanoscience and Nanotechnology
NS,Naval Science
NS-PC,Naval Science - Peabody
NSC,Neuroscience
NEXT,Next Steps
MUSO,Other Music Courses
PBDY,Peabody College
PSCH,Peabody Honors Scholars
BNJO,Performance Instruction: Banjo
BASS,Performance Instruction: Bass
BSSN,Performance Instruction: Bassoon
CLLO,Performance Instruction: Cello
CLAR,Performance Instruction: Clarinet
DRUM,Performance Instruction: Drumset
EUPH,Performance Instruction: Euphonium
FDDL,Performance Instruction: Fiddle
FLUT,Performance Instruction: Flute
GTR,Performance Instruction: Guitar Classical
HARP,Performance Instruction: Harp
HRPS,Performance Instruction: Harpsichord
HORN,Performance Instruction: Horn
JAZZ,Performance Instruction: Jazz
MNDL,Performance Instruction: Mandolin
OBOE,Performance Instruction: Oboe
ORGN,Performance Instruction: Organ
PERC,Performance Instruction: Percussion
PIAN,Performance Instruction: Piano
SAX,Performance Instruction: Saxophone
STPN,Performance Instruction: Steel Pan
TROM,Performance Instruction: Trombone
TRPT,Performance Instruction: Trumpet
TUBA,Performance Instruction: Tuba
VLA,Performance Instruction: Viola
VLN,Performance Instruction: Violin
VOIC,Performance Instruction: Voice
PERS,Persian
PHIL,Philosophy
PHYS,Physics
PSCI,Political Science
PORT,Portuguese
PSY,Psychology (AS)
PSY-PC,Psychology-PC
PPS,Public Policy Studies
RLST,Religious Studies
RPW,Robert Penn Warren Center
RUSS,Russian
SNSK,Sanskrit
SCED,Science Education
SC,Scientific Computing
SSED,Social Studies Education
SOC,Sociology
SPAN,Spanish
SPED,Special Education
SPEDH,Special Education: High Incidence
SPEDS,Special Education: Severe
SPEDV,Special Education: Vision
SWAH,Swahili
THTR,Theatre
TBTN,Tibetan Language
TURK,Turkish
